name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York City,2015-01-01T00:00:00,-2,-5.6,-12.8,43.53,0,0,,0,0,,9.5,240,1021.9,0,16,0,0,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T01:00:00,-2,-7,-13.4,41.3,0,0,,0,0,28.2,15.6,245,1020.8,15.6,16,0,0,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T02:00:00,-2.2,-7.2,-12.3,45.66,0,0,,0,0,31.7,15.7,245,1020.6,0,16,0,0,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T03:00:00,-2.6,-6.9,-13.1,44.49,0,0,,0,0,40.7,11.6,265,1020.6,0,16,0,0,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T04:00:00,-2.6,-6.5,-14,41.32,0,0,,0,0,40.7,10.4,250,1020,7.2,16,0,0,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T05:00:00,-2.6,-6.5,-14.3,40.1,0,0,,0,0,44.6,10.4,270,1020.3,0,16,0,0,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T06:00:00,-2.6,-8.3,-14,41.32,0,0,,0,0,33.5,18.4,270,1021,0,16,0,0,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T07:00:00,-2.6,-6.3,-14,41.32,0,0,,0,0,33.5,9.4,260,1021,7.2,16,26.9,0.1,0,,Clear,clear-night,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T08:00:00,-2.6,-7.3,-14,41.32,0,0,,0,0,40.7,13.7,250,1021.3,7.2,16,168.8,0.6,2,,Clear,clear-day,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T09:00:00,-2.2,-5,-14.5,38.17,0,0,,0,0,40.7,7.4,318,1021.5,7.2,16,314.9,1.1,3,,Clear,clear-day,"72505394728,KLGA,KNYC,72503014732"
New York City,2015-01-01T10:00:00,-1.2,-5.5,-14.3,35.98,0,0,,0,0,,13.3,260,1022,7.2,16,423,1.5,4,,Clear,clear-day,"72505394728,KLGA,KNYC,72503014732"
